score_address,place_address,Facility_Name,Longitude,Latitude,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,h3,similarity,rank
2175 BROADWAY,2175 BROADWAY,ALLURE RESTAURANT AND LOUNGE,-73.9811686,40.7824227,1168,56,H3,4,1,121147,2175 BROADWAY,MANHATTAN,1011680056,34,D,,1.0,1
274 BROADWAY,274 BROADWAY,EMPERADOR ELIAS RESTAURANT,-73.9587854,40.7085955,153,1,O6,0,1,239671,274 BROADWAY,MANHATTAN,1001530001,81,B,,1.0,1
2 AVENUE OF THE AMERICAS,2 AVENUE OF THE AMERICAS,ROXY BAR,-74.0049591,40.719193,191,1,HB,4,1,133895,2 AVENUE OF THE AMERICAS,MANHATTAN,1001910001,38,D,,1.0,1
3660 BROADWAY,3660 BROADWAY,NEW DELI 1,-73.9474297,40.8302955,2083,1,D7,2,1,71112,3660 BROADWAY,MANHATTAN,1020830001,2,D,,1.0,1
1900 BROADWAY,1900 BROADWAY,EPICERIE BOULUD,-73.981644,40.771677,1116,7501,R0,2,1,1182195,1900 BROADWAY,MANHATTAN,1011167501,13,D,,1.0,1
3570 BROADWAY,3570 BROADWAY,HAMILTON'S BAKERY,-73.9496138,40.8271904,2078,61,D7,2,1,46987,3570 BROADWAY,MANHATTAN,1020780061,41,D,,1.0,1
4141 BROADWAY,4141 BROADWAY,MALECON RESTAURANT,-73.9385331,40.8463793,2142,224,D7,2,1,71896,4141 BROADWAY,MANHATTAN,1021420224,1,D,,1.0,1
47 BROADWAY,47 BROADWAY,CHINA CHALET,-74.012944,40.7065,20,12,K4,4,1,27640,47 BROADWAY,MANHATTAN,1000200012,0,F,,1.0,1
1500 BROADWAY,1500 BROADWAY,GORDON RAMSAY FISH & CHIPS,-73.9856772,40.7567968,996,1,O4,4,1,493107,1500 BROADWAY,MANHATTAN,1009960001,28,D,,1.0,1
3920 BROADWAY,3920 BROADWAY,GRAN MAYA RESTAURANT,-73.9412975,40.8385576,2122,69,D7,2,1,45312,3920 BROADWAY,MANHATTAN,1021220069,14,D,,1.0,1
1454 GRAND CONCOURSE,1454 GRAND CONCOURSE,MC DELI GROCERY CORP,-73.9126327,40.839814,2832,30,C7,2,1,54228,1454 GRAND CONCOURSE,BRONX,2028320030,29,D,,1.0,1
2637 BROADWAY,2637 BROADWAY,TURKUAZ FINE TURKISH CUISINE,-73.970566,40.797344,1871,52,D6,2,1,111883,2637 BROADWAY,MANHATTAN,1018710052,77,B,,1.0,1
1333 BROADWAY,1333 BROADWAY,BOTTOMLINE BAR & RESTAURANT CONSULTANTS,-73.98657,40.75202,811,21,O6,4,1,313294,1333 BROADWAY,MANHATTAN,1008110021,70,B,,1.0,1
1400 BROADWAY,1400 BROADWAY,I KNOW THE CHEF,-73.9873098,40.7523869,814,19,O4,4,1,768530,1400 BROADWAY,MANHATTAN,1008140019,80,B,,1.0,1
1604 BROADWAY,1604 BROADWAY,PALMA VERDE,-73.98435,40.76062,1020,38,K4,4,1,28202,1604 BROADWAY,MANHATTAN,1010200038,0,F,,1.0,1
2020 BROADWAY,2020 BROADWAY,GUS BENETOS,-73.9820086,40.7764023,1141,13,D7,2,1,48606,2020 BROADWAY,MANHATTAN,1011410013,1,D,,1.0,1
760 GRAND CONCOURSE,760 GRAND CONCOURSE,EL SAZON DEL MUJERON REST,-73.9239672,40.8234333,2458,72,D7,2,1,126760,760 GRAND CONCOURSE,BRONX,2024580072,27,D,,1.0,1
1600 BROADWAY,1600 BROADWAY,M&M'S NEW YORK,-73.984355,40.760129,1020,7502,R0,2,1,195190,1600 BROADWAY,MANHATTAN,1010207502,5,D,,1.0,1
1560 BROADWAY,1560 BROADWAY,1560 CHICKEN ENTERPRISE INC,-73.9160217,40.6856824,999,3,O6,4,1,224919,1560 BROADWAY,MANHATTAN,1009990003,76,B,,1.0,1
2230 GRAND CONCOURSE,2230 GRAND CONCOURSE,CARIDAD RESTAURANT,-73.9004069,40.8561101,3158,1,D7,2,1,61337,2230 GRAND CONCOURSE,BRONX,2031580001,1,D,,1.0,1
1140 BROADWAY,1140 BROADWAY,MTHEORY,-73.988854,40.7439951,828,33,O6,4,1,128010,1140 BROADWAY,MANHATTAN,1008280033,85,A,,1.0,1
787 BROADWAY,787 BROADWAY,CHINA FUN 88,-74.1099335,40.6741304,562,30,H8,4,1,135910,787 BROADWAY,MANHATTAN,1005620030,80,B,,1.0,1
160 BROADWAY,160 BROADWAY,160 BROADWAY HEALTH & MEDICAL,-74.01012,40.70944,64,15,O6,4,3,150000,160 BROADWAY,MANHATTAN,1000640015,70,B,,1.0,1
1740 BROADWAY,1740 BROADWAY,SWEETGREEN,-73.9819014,40.7652837,1027,20,O4,4,1,519600,1740 BROADWAY,MANHATTAN,1010270020,60,C,,1.0,1
1540 BROADWAY,1540 BROADWAY,PLANET HOLLYWOOD,-73.9851237,40.7579436,998,7501,R0,2,1,936254,1540 BROADWAY,MANHATTAN,1009987501,42,D,,1.0,1
4460 BROADWAY,4460 BROADWAY,LA CANTINA HEIGHTS,-73.9324851,40.8568015,2170,66,D7,2,1,49242,4460 BROADWAY,MANHATTAN,1021700066,10,D,,1.0,1
53 BROADWAY,53 BROADWAY,LAVENDER LAKE,-73.9663428,40.7106977,2470,7501,R0,2,1,107771,53 BROADWAY,BROOKLYN,-2147483648,89,A,,1.0,1
2760 GRAND CONCOURSE,760 GRAND CONCOURSE,EL SAZON DEL MUJERON REST,-73.9239672,40.8234333,3304,92,C1,2,1,61100,2760 GRAND CONCOURSE,BRONX,2033040092,10,D,,0.9833333333333334,1
845 UNITED NATIONS PLAZA,845 UNITED NATIONS PLZ,HOSPITALITY HOLDINGS INC,-73.9674176,40.7525315,1340,7501,R0,2,1,865222,845 UNITED NATIONS PLAZA,MANHATTAN,1013407501,19,D,,0.9833333333333333,1
2647 BROADWAY,264 BROADWAY,EL PILÓN RESTAURANTE,-74.16914,40.7598256,1872,52,D7,2,1,32900,2647 BROADWAY,MANHATTAN,1018720052,0,F,,0.9820512820512821,1
2644 BROADWAY,264 BROADWAY,EL PILÓN RESTAURANTE,-74.16914,40.7598256,1872,43,D6,2,1,259607,2644 BROADWAY,MANHATTAN,1018720043,51,D,,0.9820512820512821,1
2800 BROADWAY,280 BROADWAY,POTBELLY SANDWICH SHOP,-74.0059285,40.7143572,1880,1,D4,2,1,121922,2800 BROADWAY,MANHATTAN,1018800001,74,B,,0.9820512820512821,1
446 BROADWAY,4460 BROADWAY,LA CANTINA HEIGHTS,-73.9324851,40.8568015,232,6,O5,4,1,27000,446 BROADWAY,MANHATTAN,1002320006,100,A,,0.9820512820512821,1
1601 BROADWAY,160 BROADWAY,160 BROADWAY HEALTH & MEDICAL,-74.01012,40.70944,1020,46,H1,4,1,843131,1601 BROADWAY,MANHATTAN,1010200046,44,D,,0.9820512820512821,1
2341 BROADWAY,234 BROADWAY,R & B'Z,-74.125693,40.654914,1233,11,HR,4,1,129010,2341 BROADWAY,MANHATTAN,1012330011,11,D,,0.9820512820512821,1
3512 BROADWAY,351 BROADWAY,A1 GRILL,-74.1227514,40.6589112,2075,61,D7,2,1,44910,3512 BROADWAY,MANHATTAN,1020750061,8,D,,0.9820512820512821,1
2745 BROADWAY,274 BROADWAY,EMPERADOR ELIAS RESTAURANT,-73.9587854,40.7085955,1877,1,D4,2,1,160764,2745 BROADWAY,MANHATTAN,1018770001,82,B,,0.9820512820512821,1
599 BROADWAY,5993 BROADWAY,PARDON MY CHEESESTEAK,-73.8983894,40.8902641,512,7502,R0,2,1,224409,599 BROADWAY,MANHATTAN,1005127502,92,A,,0.9820512820512821,1
349 BROADWAY,3496 BROADWAY,BLESS BAR & KITCHEN,-73.9512733,40.8249511,174,37,O6,4,1,42000,349 BROADWAY,MANHATTAN,1001740037,39,D,,0.9820512820512821,1
3471 BROADWAY,347 BROADWAY,LAS TAINAS,-73.9558832,40.7078245,2088,98,D7,2,1,48979,3471 BROADWAY,MANHATTAN,1020880098,40,D,,0.9820512820512821,1
140 BROADWAY,1400 BROADWAY,I KNOW THE CHEF,-73.9873098,40.7523869,48,1,O4,4,1,1141276,140 BROADWAY,MANHATTAN,1000480001,65,C,,0.9820512820512821,1
150 BROADWAY,1501 BROADWAY,ALICART RESTAURANT GROUP,-73.9868683,40.7570967,64,12,O4,4,1,279669,150 BROADWAY,MANHATTAN,1000640012,78,B,,0.9820512820512821,1
2008 BROADWAY,200 BROADWAY,AUNTIE ANNE'S,-74.008746,40.710595,1140,7502,R0,2,1,287538,2008 BROADWAY,MANHATTAN,1011407502,34,D,,0.9820512820512821,1
2749 BROADWAY,274 BROADWAY,EMPERADOR ELIAS RESTAURANT,-73.9587854,40.7085955,1877,63,HR,4,1,41800,2749 BROADWAY,MANHATTAN,1018770063,52,D,,0.9820512820512821,1
3513 BROADWAY,351 BROADWAY,A1 GRILL,-74.1227514,40.6589112,2090,36,D7,2,1,68735,3513 BROADWAY,MANHATTAN,1020900036,55,C,,0.9820512820512821,1
1567 BROADWAY,156 BROADWAY,THE CHIPPERY,-74.0755119,40.7374265,1018,7501,R0,2,1,366036,1567 BROADWAY,MANHATTAN,1010187501,23,D,,0.9820512820512821,1
217 BROADWAY,2175 BROADWAY,ALLURE RESTAURANT AND LOUNGE,-73.9811686,40.7824227,88,1,O6,4,1,133198,217 BROADWAY,MANHATTAN,1000880001,0,F,,0.9820512820512821,1
343 BROADWAY,3431 BROADWAY,TRUFA RESTAURANT,-73.9531479,40.8231468,173,27,D6,2,1,396000,343 BROADWAY,MANHATTAN,1001730027,50,D,,0.9820512820512821,1
2941 BROADWAY,294 BROADWAY,SABOR LATINO RESTAURANT,-74.1365051,40.8558155,1896,65,D6,2,1,126478,2941 BROADWAY,MANHATTAN,1018960065,41,D,,0.9820512820512821,1
230 PARK PLACE,23 PARK PLACE,CARLOS ROSARIO,-74.008664,40.7133249,1164,42,D4,2,1,114500,230 PARK PLACE,BROOKLYN,-2147483648,97,A,,0.980952380952381,1
2669 BROADWAY,269 BROADWAY,LATITUDE ZERO,-74.1251044,40.6560023,1873,52,D4,2,1,61400,2669 BROADWAY,MANHATTAN,1018730052,61,C,,0.9794871794871796,1
2890 BROADWAY,280 BROADWAY,POTBELLY SANDWICH SHOP,-74.0059285,40.7143572,1884,61,H8,4,1,91116,2890 BROADWAY,MANHATTAN,1018840061,35,D,,0.9794871794871796,1
2659 BROADWAY,269 BROADWAY,LATITUDE ZERO,-74.1251044,40.6560023,1873,10,D7,0,2,37633,2659 BROADWAY,MANHATTAN,1018730010,7,D,,0.9794871794871796,1
110 BROADWAY,1140 BROADWAY,MTHEORY,-73.988854,40.7439951,2131,8,D7,2,1,46781,110 BROADWAY,BROOKLYN,-2147483648,82,B,,0.9794871794871796,1
170 BROADWAY,1740 BROADWAY,SWEETGREEN,-73.9819014,40.7652837,64,7502,R0,2,1,167280,170 BROADWAY,MANHATTAN,1000647502,63,C,,0.9794871794871796,1
752 BROADWAY,7532 BROADWAY,BARO 1376,-73.8896147,40.7457243,1723,1,I1,0,3,835231,752 BROADWAY,BROOKLYN,-2147483648,40,D,,0.9794871794871796,1
1680 BROADWAY,160 BROADWAY,160 BROADWAY HEALTH & MEDICAL,-74.01012,40.70944,1024,38,O4,4,1,701095,1680 BROADWAY,MANHATTAN,1010240038,64,C,,0.9794871794871796,1
3427 BROADWAY,347 BROADWAY,LAS TAINAS,-73.9558832,40.7078245,2087,97,D7,2,1,34790,3427 BROADWAY,MANHATTAN,1020870097,73,B,,0.9794871794871796,1
5057 BROADWAY,507 BROADWAY,PERU BROTHER’S BBQ,-74.1637788,40.7677095,2243,258,D7,2,1,34008,5057 BROADWAY,MANHATTAN,1022430258,26,D,,0.9794871794871796,1
1164 BROADWAY,114 BROADWAY,EL EDEN,-74.1704737,40.7542395,829,50,HB,4,3,112608,1164 BROADWAY,MANHATTAN,1008290050,1,D,,0.9794871794871796,1
360 BROADWAY,3660 BROADWAY,NEW DELI 1,-73.9474297,40.8302955,171,7,V1,0,1,0,360 BROADWAY,MANHATTAN,1001710007,0,F,,0.9794871794871796,1
2689 BROADWAY,269 BROADWAY,LATITUDE ZERO,-74.1251044,40.6560023,1874,52,D6,2,1,168140,2689 BROADWAY,MANHATTAN,1018740052,65,C,,0.9794871794871796,1
1690 BROADWAY,160 BROADWAY,160 BROADWAY HEALTH & MEDICAL,-74.01012,40.70944,1025,25,O4,4,1,596559,1690 BROADWAY,MANHATTAN,1010250025,18,D,,0.9794871794871796,1
3501 BROADWAY,351 BROADWAY,A1 GRILL,-74.1227514,40.6589112,2090,29,D7,2,1,62095,3501 BROADWAY,MANHATTAN,1020900029,33,D,,0.9794871794871796,1
329 BROADWAY,3229 BROADWAY,BUTTERFUNK BISCUIT CO.,-73.9578458,40.8167604,2462,1,D6,2,1,108501,329 BROADWAY,BROOKLYN,-2147483648,0,F,,0.9794871794871796,1
3551 BROADWAY,351 BROADWAY,A1 GRILL,-74.1227514,40.6589112,2092,36,D7,2,1,45870,3551 BROADWAY,MANHATTAN,1020920036,3,D,,0.9794871794871796,1
476 BROADWAY,4736 BROADWAY,THE EDIBILIST,-73.928258,40.8648293,473,7501,R0,2,1,70632,476 BROADWAY,MANHATTAN,1004737501,3,D,,0.9794871794871796,1
2609 BROADWAY,269 BROADWAY,LATITUDE ZERO,-74.1251044,40.6560023,1870,52,HR,4,1,55616,2609 BROADWAY,MANHATTAN,1018700052,1,D,,0.9794871794871796,1
111 BROADWAY,1191 BROADWAY,HASINI SHEL BROADWAY,-73.7028631,40.6364006,49,2,O4,4,1,432093,111 BROADWAY,MANHATTAN,1000490002,63,C,,0.9794871794871796,1
4401 AVENUE H,4410 AVENUE H,CZEN RESTAURANT,-73.9336722,40.6324231,7728,1,E1,4,1,43843,4401 AVENUE H,BROOKLYN,-2147483648,71,B,,0.9794871794871796,1
180 BROADWAY,18 BROADWAY,CHARRY’S,-74.1271132,40.8605509,65,7502,R0,2,1,149223,180 BROADWAY,MANHATTAN,1000657502,57,C,,0.9777777777777777,1
817 BROADWAY,81 BROADWAY,MARLOW & SONS,-73.9656961,40.710638,563,31,O6,4,1,114383,817 BROADWAY,MANHATTAN,1005630031,84,B,,0.9777777777777777,1
50 BROADWAY,507 BROADWAY,PERU BROTHER’S BBQ,-74.1637788,40.7677095,22,24,O4,4,1,300676,50 BROADWAY,MANHATTAN,1000220024,73,B,,0.9777777777777777,1
52 BROADWAY,527 BROADWAY,SUBWAY,-74.1175024,40.6651121,22,28,O6,4,1,345540,52 BROADWAY,MANHATTAN,1000220028,59,C,,0.9777777777777777,1
29 BROADWAY,293 BROADWAY,ALKOFEIA RESTAURANT,-74.1244102,40.6568965,20,1,O4,4,1,316150,29 BROADWAY,MANHATTAN,1000200001,79,B,,0.9777777777777777,1
336 BROADWAY,33 BROADWAY,LA CABANA ELEGANTE RESTAURANTE,-74.1275701,40.86011,170,1,D6,2,1,139697,336 BROADWAY,MANHATTAN,1001700001,21,D,,0.9777777777777777,1
32 BROADWAY,324 BROADWAY,POKE BOWL,-74.1230084,40.6582058,22,17,O6,4,1,143000,32 BROADWAY,MANHATTAN,1000220017,21,D,,0.9777777777777777,1
11 BROADWAY,114 BROADWAY,EL EDEN,-74.1704737,40.7542395,2468,7501,R0,2,2,226511,11 BROADWAY,BROOKLYN,-2147483648,50,D,,0.9777777777777777,1
187 BROADWAY,18 BROADWAY,CHARRY’S,-74.1271132,40.8605509,63,15,D7,2,1,64666,187 BROADWAY,MANHATTAN,1000630015,0,F,,0.9777777777777777,1
358 BROADWAY,35 BROADWAY,PATRIZIAS,-74.012746,40.706693,171,5,C7,2,1,48180,358 BROADWAY,MANHATTAN,1001710005,100,A,,0.9777777777777777,1
61 BROADWAY,618 BROADWAY,TU PAIS RESTAURANT,-74.1622153,40.7715982,21,1,O4,4,1,650740,61 BROADWAY,MANHATTAN,1000210001,75,B,,0.9777777777777777,1
2680 BROADWAY,280 BROADWAY,POTBELLY SANDWICH SHOP,-74.0059285,40.7143572,1874,22,D7,2,1,37816,2680 BROADWAY,MANHATTAN,1018740022,25,D,,0.976923076923077,1
3851 BROADWAY,351 BROADWAY,A1 GRILL,-74.1227514,40.6589112,2137,14,D6,2,1,105000,3851 BROADWAY,MANHATTAN,1021370014,18,D,,0.976923076923077,1
1385 BROADWAY,185 BROADWAY,EL MERENGUE RESTAURANT,-74.1696875,40.7566623,813,55,O4,4,1,438643,1385 BROADWAY,MANHATTAN,1008130055,82,B,,0.976923076923077,1
1407 BROADWAY,1740 BROADWAY,SWEETGREEN,-73.9819014,40.7652837,814,15,O4,4,1,911896,1407 BROADWAY,MANHATTAN,1008140015,70,B,,0.976923076923077,1
1260 BROADWAY,160 BROADWAY,160 BROADWAY HEALTH & MEDICAL,-74.01012,40.70944,834,11,H2,4,1,278905,1260 BROADWAY,MANHATTAN,1008340011,56,C,,0.976923076923077,1
2180 BROADWAY,280 BROADWAY,POTBELLY SANDWICH SHOP,-74.0059285,40.7143572,1169,16,D6,2,1,191432,2180 BROADWAY,MANHATTAN,1011690016,11,D,,0.976923076923077,1
3624 BROADWAY,324 BROADWAY,POKE BOWL,-74.1230084,40.6582058,2081,1,D7,2,1,45930,3624 BROADWAY,MANHATTAN,1020810001,1,D,,0.976923076923077,1
2380 BROADWAY,280 BROADWAY,POTBELLY SANDWICH SHOP,-74.0059285,40.7143572,1235,42,D6,2,1,268989,2380 BROADWAY,MANHATTAN,1012350042,26,D,,0.976923076923077,1
4580 BROADWAY,4805 BROADWAY,READY STRONG MEALS,-74.01715,40.78013,2172,4,D7,2,1,106464,4580 BROADWAY,MANHATTAN,1021720004,66,C,,0.976923076923077,1
208 AVENUE OF THE AMERICAS,2 AVENUE OF THE AMERICAS,ROXY BAR,-74.0049591,40.719193,519,44,D4,2,1,33204,208 AVENUE OF THE AMERICAS,MANHATTAN,1005190044,68,C,,0.976923076923077,1
2700 BROADWAY,200 BROADWAY,AUNTIE ANNE'S,-74.008746,40.710595,1875,7501,R0,2,1,135625,2700 BROADWAY,MANHATTAN,1018757501,71,B,,0.976923076923077,1
291 BROADWAY,2791 BROADWAY,FUMO PIZZA BROADWAY,-73.9681172,40.8028379,150,38,O6,4,1,128940,291 BROADWAY,MANHATTAN,1001500038,69,C,,0.976923076923077,1
592 BROADWAY,5592 BROADWAY,MALECON,-73.9043378,40.8792992,511,12,O6,4,1,231840,592 BROADWAY,MANHATTAN,1005110012,76,B,,0.976923076923077,1
1450 BROADWAY,1540 BROADWAY,PLANET HOLLYWOOD,-73.9851237,40.7579436,993,47,O4,4,1,362850,1450 BROADWAY,MANHATTAN,1009930047,64,C,,0.976923076923077,1
